timeStep    from platoon        to platoon          comment             


8.13       CACC2                CACC1                Merge_Request       
8.14       CACC2                -                    Merge_Start         

10.71      CACC3                CACC2                Merge_Request       
10.71      CACC3                -                    Merge_Reject        
10.81      CACC3                CACC2                Merge_Request       
10.81      CACC3                -                    Merge_Reject        
10.91      CACC3                CACC2                Merge_Request       
10.91      CACC3                -                    Merge_Reject        
11.01      CACC3                CACC2                Merge_Request       
11.01      CACC3                -                    Merge_Reject        
11.11      CACC3                CACC2                Merge_Request       
11.11      CACC3                -                    Merge_Reject        
11.21      CACC3                CACC2                Merge_Request       
11.21      CACC3                -                    Merge_Reject        
11.31      CACC3                CACC2                Merge_Request       
11.31      CACC3                -                    Merge_Reject        
11.41      CACC3                CACC2                Merge_Request       
11.41      CACC3                -                    Merge_Reject        
11.51      CACC3                CACC2                Merge_Request       
11.51      CACC3                -                    Merge_Reject        
11.61      CACC3                CACC2                Merge_Request       
11.61      CACC3                -                    Merge_Reject        
11.71      CACC3                CACC2                Merge_Request       
11.71      CACC3                -                    Merge_Reject        
11.81      CACC3                CACC2                Merge_Request       
11.81      CACC3                -                    Merge_Reject        
11.91      CACC3                CACC2                Merge_Request       
11.91      CACC3                -                    Merge_Reject        

11.94      CACC2                -                    Merge_End           

12.01      CACC3                CACC1                Merge_Request       
12.01      CACC3                -                    Merge_Start         

13.33      CACC4                CACC3                Merge_Request       
13.33      CACC4                -                    Merge_Reject        
13.43      CACC4                CACC3                Merge_Request       
13.43      CACC4                -                    Merge_Reject        
13.53      CACC4                CACC3                Merge_Request       
13.53      CACC4                -                    Merge_Reject        
13.63      CACC4                CACC3                Merge_Request       
13.63      CACC4                -                    Merge_Reject        
13.73      CACC4                CACC3                Merge_Request       
13.73      CACC4                -                    Merge_Reject        
13.83      CACC4                CACC3                Merge_Request       
13.83      CACC4                -                    Merge_Reject        
13.93      CACC4                CACC3                Merge_Request       
13.93      CACC4                -                    Merge_Reject        
14.03      CACC4                CACC3                Merge_Request       
14.03      CACC4                -                    Merge_Reject        
14.13      CACC4                CACC3                Merge_Request       
14.13      CACC4                -                    Merge_Reject        
14.23      CACC4                CACC3                Merge_Request       
14.23      CACC4                -                    Merge_Reject        
14.33      CACC4                CACC3                Merge_Request       
14.33      CACC4                -                    Merge_Reject        
14.43      CACC4                CACC3                Merge_Request       
14.43      CACC4                -                    Merge_Reject        
14.53      CACC4                CACC3                Merge_Request       
14.53      CACC4                -                    Merge_Reject        
14.63      CACC4                CACC3                Merge_Request       
14.63      CACC4                -                    Merge_Reject        
14.73      CACC4                CACC3                Merge_Request       
14.73      CACC4                -                    Merge_Reject        
14.83      CACC4                CACC3                Merge_Request       
14.83      CACC4                -                    Merge_Reject        
14.93      CACC4                CACC3                Merge_Request       
14.93      CACC4                -                    Merge_Reject        
15.03      CACC4                CACC3                Merge_Request       
15.03      CACC4                -                    Merge_Reject        
15.13      CACC4                CACC3                Merge_Request       
15.13      CACC4                -                    Merge_Reject        
15.23      CACC4                CACC3                Merge_Request       
15.23      CACC4                -                    Merge_Reject        
15.33      CACC4                CACC3                Merge_Request       
15.33      CACC4                -                    Merge_Reject        
